Algorithm,Sample,Result,Time,Seed
MEMETICALGORITHMHYBRIDLOCALSEARCH,10,40.626602482269064,18.688579320907593,23
EVOLUTIONSTRATEGY,10,39.31060149172286,0.0968785285949707,23
DIFFERENTIALEVOLUTION,10,40.626602482269064,0.4332103729248047,23
BASE,10,40.626602482269064,0.034931182861328125,24
GENETICALGORITHM,10,40.52957416393586,0.4525027275085449,24
MEMETICALGORITHM,10,40.52957416393586,1.2715656757354736,24
MEMETICALGORITHMHYBRIDLOCALSEARCH,10,40.626602482269064,18.92707633972168,24
EVOLUTIONSTRATEGY,10,38.01515941743148,0.09364151954650879,24
DIFFERENTIALEVOLUTION,10,40.626602482269064,0.44613003730773926,24
BASE,10,40.626602482269064,0.034151554107666016,25
GENETICALGORITHM,10,40.52957416393586,0.4653184413909912,25
MEMETICALGORITHM,10,40.626602482269064,1.2084283828735352,25
MEMETICALGORITHMHYBRIDLOCALSEARCH,10,40.626602482269064,18.703622102737427,25
EVOLUTIONSTRATEGY,10,40.626602482269064,0.14014267921447754,25
DIFFERENTIALEVOLUTION,10,40.626602482269064,0.5697221755981445,25
BASE,10,40.626602482269064,0.053189992904663086,26
GENETICALGORITHM,10,39.31060149172286,0.48659658432006836,26
MEMETICALGORITHM,10,40.626602482269064,2.2019803524017334,26
MEMETICALGORITHMHYBRIDLOCALSEARCH,10,40.626602482269064,23.53696918487549,26
EVOLUTIONSTRATEGY,10,40.52957416393586,0.11145973205566406,26
DIFFERENTIALEVOLUTION,10,40.626602482269064,0.46613335609436035,26
BASE,10,40.626602482269064,0.0351557731628418,27
GENETICALGORITHM,10,40.626602482269064,0.46651458740234375,27
MEMETICALGORITHM,10,40.626602482269064,1.2663044929504395,27
MEMETICALGORITHMHYBRIDLOCALSEARCH,10,40.626602482269064,19.175163984298706,27
EVOLUTIONSTRATEGY,10,39.31060149172286,0.0953071117401123,27
DIFFERENTIALEVOLUTION,10,40.626602482269064,0.43772411346435547,27
BASE,10,40.626602482269064,0.033772945404052734,28
GENETICALGORITHM,10,39.331160407977684,0.4468364715576172,28
MEMETICALGORITHM,10,40.626602482269064,1.4323232173919678,28
MEMETICALGORITHMHYBRIDLOCALSEARCH,10,40.626602482269064,19.133376836776733,28
EVOLUTIONSTRATEGY,10,38.01515941743148,0.14768624305725098,28
DIFFERENTIALEVOLUTION,10,40.626602482269064,0.47183775901794434,28
BASE,10,40.626602482269064,0.03521275520324707,29
GENETICALGORITHM,10,40.626602482269064,0.4876821041107178,29
MEMETICALGORITHM,10,40.52957416393586,1.2837636470794678,29
MEMETICALGORITHMHYBRIDLOCALSEARCH,10,40.626602482269064,18.698336601257324,29
EVOLUTIONSTRATEGY,10,40.52957416393586,0.09590411186218262,29
DIFFERENTIALEVOLUTION,10,40.626602482269064,0.4250640869140625,29
BASE,100,489.4315234967205,0.12404799461364746,0
GENETICALGORITHM,100,545.4950964002962,1.458942174911499,0
MEMETICALGORITHM,100,555.3349033132149,27.146517276763916,0
MEMETICALGORITHMHYBRIDLOCALSEARCH,100,512.8066810707328,45.862149238586426,0
EVOLUTIONSTRATEGY,100,485.2466746229506,0.28008031845092773,0
DIFFERENTIALEVOLUTION,100,521.565181488365,0.9883568286895752,0
BASE,100,486.7798788540612,0.12012457847595215,1
GENETICALGORITHM,100,545.3761110542982,1.4380245208740234,1
MEMETICALGORITHM,100,554.5523510091024,26.7928466796875,1
MEMETICALGORITHMHYBRIDLOCALSEARCH,100,517.1019358757624,44.844945192337036,1
EVOLUTIONSTRATEGY,100,482.83454690974077,0.24448037147521973,1
DIFFERENTIALEVOLUTION,100,524.7424420695132,0.9050757884979248,1
BASE,100,500.72007821640756,0.11089277267456055,2
GENETICALGORITHM,100,548.6426971879616,1.2668538093566895,2
MEMETICALGORITHM,100,555.8803978856719,25.866596698760986,2
MEMETICALGORITHMHYBRIDLOCALSEARCH,100,512.3518152581124,46.0129759311676,2
EVOLUTIONSTRATEGY,100,471.95240092671594,0.24475789070129395,2
DIFFERENTIALEVOLUTION,100,516.7900133911862,0.9091060161590576,2
BASE,100,482.73341980047604,0.11325740814208984,3
GENETICALGORITHM,100,545.4421556316742,1.2800166606903076,3
MEMETICALGORITHM,100,557.362447637498,25.073241233825684,3
MEMETICALGORITHMHYBRIDLOCALSEARCH,100,512.1278746933235,45.7205126285553,3
EVOLUTIONSTRATEGY,100,480.68351678735917,0.2768588066101074,3
DIFFERENTIALEVOLUTION,100,518.4482481445576,1.0196576118469238,3
BASE,100,489.68241745558737,0.21249699592590332,4
GENETICALGORITHM,100,545.0921050685662,1.3968594074249268,4
MEMETICALGORITHM,100,554.175945098705,26.131316900253296,4
MEMETICALGORITHMHYBRIDLOCALSEARCH,100,505.5824869998861,45.72958183288574,4
EVOLUTIONSTRATEGY,100,475.852676451031,0.27785253524780273,4
DIFFERENTIALEVOLUTION,100,519.3669409759495,1.102785587310791,4
BASE,100,484.98933149853775,0.11974334716796875,5
GENETICALGORITHM,100,548.6528207827881,1.4172053337097168,5
MEMETICALGORITHM,100,554.8325333899171,26.589633226394653,5
MEMETICALGORITHMHYBRIDLOCALSEARCH,100,512.0319416623604,45.67376255989075,5
EVOLUTIONSTRATEGY,100,480.65310680991945,0.23835396766662598,5
DIFFERENTIALEVOLUTION,100,518.3037752741275,0.938093900680542,5
BASE,100,489.35363768142673,0.12160325050354004,6
GENETICALGORITHM,100,549.8705049988133,1.387312412261963,6
MEMETICALGORITHM,100,554.4212388619288,25.549241542816162,6
MEMETICALGORITHMHYBRIDLOCALSEARCH,100,518.6395463774064,46.63062119483948,6
EVOLUTIONSTRATEGY,100,469.66416425412956,0.2777068614959717,6
DIFFERENTIALEVOLUTION,100,516.1560458239766,1.1145920753479004,6
BASE,100,492.2091169764483,0.12515473365783691,7
GENETICALGORITHM,100,550.3959120201637,1.3756670951843262,7
MEMETICALGORITHM,100,555.1610207453973,25.958128690719604,7
